id,source,question,choice1,choice2,choice3,choice4,answer,explanation
21,「（作例）月をめでしかば、人々いとあはれがりき。」,引用文中の「しか」の基本形と活用形、および接続する活用形の正しい組み合わせを選べ。,基本形「き」・已然形・連用形接続,基本形「けり」・已然形・未然形接続,基本形「き」・連体形・未然形接続,基本形「けり」・連用形・連用形接続,1,「めで（下二段動詞『愛づ』の連用形）」に接続している「しか」は、直接体験の過去を表す助動詞「き」の已然形（「せ・○・き・し・しか・○」の『しか』）です。已然形「しか」に接続助詞「ば」がついて「めでたところ、〜」という過去の確定条件を構成しています。
22,「昨日見し人を、今日もまた見んと思ふ。」,引用文中の「し」の文法的説明として正しいものを選べ。,過去の助動詞「き」の連体形,過去の助動詞「き」の已然形,強意の副助詞,サ変動詞「す」の連用形,1,「見（マ行上一段動詞『見る』の連用形）」に接続している「し」は、過去の助動詞「き」の連体形です。後ろの名詞「人」を修飾しています。
23,,過去の助動詞「き」は原則として連用形に接続するが、カ変・サ変では未然形にも接続する。カ変・サ変の未然形に接続した例として正しいものを選べ。,カ変の未然形「こ」、サ変の未然形「せ」に接続する（「こし」「せし」など）,カ変の連用形「き」、サ変の連用形「し」にのみ接続する,カ変の終止形『く』、サ変の終止形『す』に接続する,カ変・サ変にも未然形接続の例外はない,1,過去の助動詞「き」は原則として活用語の連用形に接続する。ただし、連体形「し」・已然形「しか」は、カ変「来」の未然形「こ」やサ変「す」の未然形「せ」に接続して「こし」「こしか」「せし」「せしか」となることがある。
24,「（作例）門をたたく音を聞けば、すでに使ひ来にけり。」,引用文中の「にけり」の「けり」のこの文脈における意味として最も適当なものを選べ（※状況の発見を伴う）。,伝聞過去（〜だったそうだ）,詠嘆・気づき（〜だったのだなあ、〜ているのだなあ）,現在推量,断定,2,「すでに使いが来ていたのだなあ（今気づいた）」という状況の発見を表すため、これは「詠嘆・気づき」になります。「けり」は会話文や和歌、あるいは「なり＋けり」「に＋けり」の形で目の前の事実に気づいたとき、しばしば「詠嘆（〜だなあ）」の意味になります。
25,「昔、竹取の翁といふ者ありけり。」,物語の地の文における、引用文中の「けり」の意味として最も適当なものを選べ。,直接体験した過去,伝聞過去（〜だったそうだ、〜ということだ）,詠嘆（〜だなあ）,現在の存続,2,物語の冒頭など、作者自身が直接見ていない過去の伝聞情報を読者に語る地の文の「けり」は、「伝聞過去（〜だったそうだ）」になります。
26,,『き』と『けり』の『接続』に関する説明として正しいものを選べ。,両者とも、活用語の連用形に接続する（例外を除く）,『き』は未然形に接続し、『けり』は連用形に接続する,『き』は連用形に接続し、『けり』は終止形に接続する,『き』は終止形に接続し、『けり』は未然形に接続する,1,過去の助動詞「き」も、過去・詠嘆の助動詞「けり」も、ともに活用語の連用形に接続します。（「き」にはカ変・サ変に対する接続の例外があります）。
27,「世の中にたえて桜のなかりせば、春の心はのどけからまし。」,引用文中の「せ」は、どの助動詞の何形か。,過去の助動詞「き」の未然形,サ変動詞「す」の未然形,使役の助動詞「す」の未然形,尊敬の助動詞「す」の未然形,1,「なかりせば」の「せ」は、過去の助動詞「き」の未然形である。反実仮想では「〜せば……まし」「〜ましかば……まし」などの形が用いられる。
28,「（作例）夜も明けつ。いざ起き給へ。」,引用文中の「つ」の活用形として正しいものを選べ。,未然形,連用形,終止形,連体形,3,「夜も明けた。さあお起きなさい。」という文脈で、文末で言い切っているため、これは下二段型に活用する（て・て・つ・つる・つれ・てよ）助動詞「つ」の終止形「つ」になります。
29,「（作例）猫の失せぬを悲しがること、いとゆゆし。」,引用文中の「ぬ」の文法的説明として最も適当なものを一つ選べ。,打消の助動詞「ず」の連体形,完了の助動詞「ぬ」の連体形,完了の助動詞「ぬ」の終止形,格助詞,2,「失せ」はサ行下二段動詞「失す」の連用形である。連用形に接続し、後ろの格助詞「を」に続く「ぬ」は、完了の助動詞「ぬ」の連体形である。「猫がいなくなってしまったことを」の意となる。
30,「（作例）海賊、早く来つべき心地するかな。」,引用文中の「つ」の助動詞の意味として最も適当なものを選べ。,完了,強意（きっと〜する、確かに〜する）,並列,過去,2,「つ」「ぬ」が、推量の助動詞「べし」や「む・らむ」の上にくっつくとき（つべし、ぬべし、てむ、なむ）、これらの「つ」「ぬ」は完了ではなく「強意（きっと〜するに違いない）」を表します。「海賊がきっとやって来そうな気がする」と訳します。
31,「（作例）夜も明けぬれば、いざ舟を出さん。」,引用文中の「ぬれ」の助動詞の「基本形」と「活用形」の正しい組み合わせを選べ。,基本形「ず」・已然形,基本形「ぬ」・已然形,基本形「ぬ」・連用形,基本形「ず」・連体形,2,「明け」は下二段動詞「明く」の連用形です。連用形に接続する「ぬれ」は、ナ変型に活用する（な・に・ぬ・ぬる・ぬれ・ね）完了の助動詞「ぬ」の已然形になります。已然形「ぬれ」に接続助詞「ば」がついて「夜も明けたので」という確定条件を作っています。
32,,古文における「つ」と「ぬ」の使われ方の一般的な傾向として、最も適当なものを選べ。,『つ』は主に他動詞・意志的な動作（書く、言う等）に接続し、『ぬ』は主に自動詞・自然現象や無意識な動作（降る、死ぬ、失す等）に接続する,『つ』は敬語を伴い、『ぬ』は敬語を伴わない,『つ』は会話文にのみ使われ、『ぬ』は地の文にのみ使われる,両者の使われ方には、傾向を含めて一切の違いがない,1,一般に「つ」は意志的・作為的な動作や他動詞に、「ぬ」は自然発生的・無意志的な変化や自動詞に用いられやすい。ただし、これは絶対的な接続規則ではなく、文脈によって例外もあるため「主な傾向」として理解する。
33,「（作例）昨日書きつる文を、使ひに持たせたり。」,引用文中の「つる」の基本形と活用形を選べ。,基本形「つ」・連体形,基本形「つ」・連用形,基本形「ぬ」・連体形,基本形「り」・已然形,1,「書き」はカ行四段動詞「書く」の連用形で、これに完了の助動詞「つ」が接続している。「つる」は「つ」の連体形で、後ろの名詞「文」を修飾する。
34,「（作例）この身も滅びなむ。」,引用文中の「な」の文法的説明として最も適当なものを選べ。,打消「ず」の已然形,完了（強意）の助動詞「ぬ」の未然形,完了の助動詞「ぬ」の連用形,願望の終助詞,2,「滅び」は上二段動詞「滅ぶ」の連用形である。「な」は完了の助動詞「ぬ」の未然形で、推量・意志の助動詞「む」に続く。「なむ」の形では「きっと〜しよう／きっと〜するだろう」という強意を添える。
35,「（作例）亡き児を思ひ、文を書きてけり。」,引用文中の「書きてけり」の「て」の文法的説明として正しいものを選べ。,接続助詞,完了の助動詞「つ」の連用形,完了の助動詞「つ」の未然形,過去の助動詞「き」の一部,2,「書き」はカ行四段動詞「書く」の連用形である。これに完了の助動詞「つ」の連用形「て」が付き、さらに過去・詠嘆の助動詞「けり」が続いている。接続助詞「て」ではない。
36,「（作例）角左衛門の行ひを、後の世に伝へんがために書きたるなり。」,引用文中の「たる」の助動詞の意味と活用形として最も適当なものを選べ。,完了・連用形,存続・連体形,断定・連体形,受身・連用形,2,「書き」はカ行四段動詞「書く」の連用形で、これに完了・存続の助動詞「たり」の連体形「たる」が続く。文脈上は「書いてある」という存続を表し、後ろの断定の助動詞「なり」に接続している。
37,,助動詞「り」は、どの活用語のどの活用形に接続するか。正しい説明を選べ。,サ未四已（さみしい） ＝ サ変の未然形、四段の已然形に接続する,サ已四未（さいしみ） ＝ サ変の已然形、四段の未然形に接続する,上未下一（じょうみしもいち） ＝ 上一段の未然形、下一段の已然形に接続する,接続の例外はない,1,助動詞「り」は、サ行変格活用の未然形「せ」と、四段活用の已然形（エ段音）に接続する。この接続は語呂合わせ「サ未四已（さみしい）」で覚える。
38,「（作例）庭に咲ける桜を眺む。」,引用文中の「る」の文法的説明として正しいものを選べ。,尊敬,受身,存続（〜ている、〜てある）,可能,3,「咲け」はカ行四段動詞「咲く」の已然形である。四段動詞の已然形に接続する「る」は、完了・存続の助動詞「り」の連体形で、ここでは「咲いている」という存続を表す。
39,「（作例）板に文字を書ければ、雨にぬれても消えず。」,引用文中の「れ」の文法的説明として正しいものを選べ。,受身の助動詞「る」の已然形,存続の助動詞「り」の已然形,尊敬の助動詞「る」の已然形,可能の助動詞「る」の已然形,2,「書け」はカ行四段動詞「書く」の已然形で、これに完了・存続の助動詞「り」の已然形「れ」が接続している。さらに接続助詞「ば」が続き、「文字が書いてあるので」という確定条件を表す。
40,「（作例）御使いはいまだ来ず。すでに日も暮れたり。」,引用文中の「たり」の意味として最も適当なものを選べ。,存続,完了（〜してしまった、〜した）,断定,希望,2,「日も暮れてしまった」という、動作・状況の完了を表すため、これは「完了」になります。ラ変型に活用（たら・たり・たり・たる・たれ・たれ）し、活用語の連用形に接続します。
41,「（地の文）帝の乗らせ給へる車、きよげなり。」,引用文中の「る」の文法的な説明として最も適当なものを選べ。,受身の助動詞「る」の終止形,存続の助動詞「り」の連体形,尊敬の助動詞「る」の連体形,自発の助動詞「る」の連用形,2,「給へ」はハ行四段動詞「給ふ」の已然形である。四段動詞の已然形に接続する「る」は、完了・存続の助動詞「り」の連体形で、「帝がお乗りになっている車」の意となる。
42,,助動詞『たり』と『り』の活用変化の型として正しいものを選べ。,下二段型活用,ラ行変格活用型（ラ変型）,サ行変格活用型,四段活用型,2,「たり」（たら・たり・たり・たる・たれ・たれ）および「り」（ら・り・り・る・れ・れ）は、ともにラ行変格活用型（ラ変型）に活用する助動詞です。
43,「（作例・話し手自身の決意）われは明日、都へ帰るべし。」,引用文中の「べし」の意味として最も適当なものを選べ。,当然（〜はずだ）,可能（〜できる）,強固な意志・決意（〜するつもりだ、〜よう）,命令（〜せよ）,3,話し手が自分の将来の行動について「明日、都へ帰ろう／帰るつもりだ」と決意しているため「意志」である。「べし」は、主語が一人称で意図的な行動を述べる場合、意志を表すことがある。
44,「（作例）これほど空が暗ければ、やがて雨も降るべし。」,引用文中の「べし」の意味として最も適当なものを選べ。,推量（〜だろう、〜にちがいない）,命令,希望,比況,1,空が暗いという現在の状況から、今後雨が降るだろうと推し量っているため「推量」である。
45,「（作例・話し手自身の決意）われは二度と宮仕へすまじ。」,引用文中の「まじ」の意味として最も適当なものを選べ（※話し手自身の強い否定的な決意）。,打消推量（〜ないだろう）,打消意志（〜ないつもりだ、〜まい）,禁止・不適当（〜てはならない）,不可能（〜できそうにない）,2,話し手が自分の行動について「二度と宮仕えをするまい」と否定的な決意を述べているため「打消意志」である。
46,「（作例）病重くして、今日はえ対面すまじ。」,引用文中の「まじ」の意味として最も適当なものを選べ（※「え〜まじ」の呼応を伴う）。,打消推量,打消意志,不可能（〜できそうにない、〜できない）,禁止,3,副詞「え」は、後ろの打消表現と呼応して「〜できない」を表す。「え対面すまじ」は「対面することができそうにない」の意であり、「まじ」は不可能を表す。
47,,ラ変型の活用語に『べし』が接続するとき、どの活用形に接続するか、正しいものを選べ。,連体形（あるべし 等）,未然形（あらべし）,終止形（ありべし）,已然形（あれべし）,1,推量・当然の助動詞「べし」は、原則として活用語の終止形に接続しますが、ラ行変格活用（およびラ変型に活用する助動詞『たり』『り』など）には「連体形」に接続（あるべし、たるべし等）します。超重要文法ルールです。
48,「（作例・能力について述べる文脈）鍛錬を重ねたれば、この者は重き弓をも引くべし。」,引用文中の「べき」の意味として最も適当なものを選べ。,推量,命令,可能（〜できる、〜ことができる）,適当,3,鍛錬を積んだ人物の能力について「重い弓でも引くことができる」と述べているため「可能」である。
49,,助動詞『まじ』の活用型として正しいものを選べ。,形容詞型（シク活用型）,動詞型（四段型）,ナ変型,ラ変型,1,助動詞「まじ」および「べし」は、形容詞と同様の活用変化を行います。「まじ」は形容詞シク活用型（まじく・まじく・まじ・まじき・まじけ・○、および補助活用の「まじから・まじかり・○・まじかる・まじかれ・○」）と同様に活用します。
50,「（作例）『これよりは急ぎ帰るべし。遅れることなかれ。』」,引用文中の「べし」の意味として最も適当なものを選べ（※相手に対して『〜するのが良い』と勧めている）。,推量,可能,適当（〜するのがよい、〜するのがふさわしい）,意志,3,相手に対して「急いで帰るのがよい（そうするのがふさわしい）」と進言しているため、これは「適当」になります。「べし」には「推量・意志・可能・当然・命令・適当（スイカトメテ）」の6つの意味があります。
51,「（土佐日記冒頭より）男もすなる日記といふものを、女もしてみむとてするなり。」,引用文中の「男もすなる」の「なる」について、基本形・意味・活用形の組み合わせとして正しいものを選べ。,基本形「なり」・断定・連体形,基本形「なる」・ラ変動詞・連体形,基本形「なり」・伝聞推定・連体形,形容動詞の一部,3,問うているのは冒頭の「男もすなる」の「なる」である。サ変動詞「す」の終止形に接続するため伝聞・推定の助動詞「なり」であり、後ろの名詞「日記」を修飾する連体形である。文末の「するなり」は別の「なり」なので混同しない。
52,,伝聞推定の助動詞『なり』と、断定の助動詞『なり』の接続規則の違いとして正しいものを選べ。,伝聞推定の『なり』は終止形（ラ変型は連体形）に接続し、断定の『なり』は体言や活用語の連体形に接続する,伝聞推定の『なり』は未然形に接続し、断定の『なり』は連用形に接続する,両者とも全く同じ接続である,伝聞推定の『なり』は体言にのみ接続する,1,この2つの「なり」を区別する最大のポイントは接続規則です。終止形（ラ変型は連体形）の下にあれば「伝聞推定」、体言や連体形の下にあれば「断定」になります。
53,「（作例）秋の野に人待つ虫の声なり。」,引用文中の「なり」の意味として最も適当なものを選べ。,伝聞推定,断定（〜である）,存在（〜にある）,推量,2,「声（名詞・体言）」に直接接続しています。したがって、これは終止形に接続する伝聞推定ではなく、断定の助動詞「なり」の終止形になります（「虫の声である」の意）。
54,「（作例）こなたの門だつ方は鎖して侍るめり。」,引用文中の「めり」の意味として最も適当なものを選べ。,視覚に基づく推定（〜であるようだ、〜と見える）,人づてに聞いた伝聞（〜だそうだ）,命令,存続,1,実際に門が閉まっている様子を目で見て、「閉まっているようである」と推し量っているため、視覚情報に基づく「推定」になります（「めり」は『見えあり』から生まれた推定の助動詞です）。
55,「（和歌より）春過ぎて夏来にけらし白妙の衣干したり天の香具山」,引用文中の「けらし」は「けるらし」の「る」が省略された形である。この「らし」の意味として最も適当なものを選べ。,願望,当然,根拠に基づく確実な推定（〜にちがいない、〜であるらしい）,打消,3,香具山に白い衣が干してあるという目に見える根拠から、「夏が来たらしい」と推定している。「けらし」は「けるらし」の「る」が省略された形で、「らし」は根拠に基づく推定を表す。
56,「（文法知識）「あるなり」→「あんなり」→「あなり」、「あるめり」→「あんめり」→「あめり」のように、撥音便の「ん」が表記されない場合について」,「あなり」「あめり」に含まれる「なり」「めり」について、正しい説明を選べ。,撥音便「ん」は表記上省略されているが、「なり」「めり」はそれぞれ伝聞・推定の助動詞である,動詞の終止形に直接接続しているとみなす,すべて敬語の補助動詞となる,助詞の一部となるため助動詞ではない,1,ラ変動詞「あり」の連体形「ある」の語尾「る」が撥音便化し、その「ん」も表記されないことがある。「あるなり」→「あんなり」→「あなり」、「あるめり」→「あんめり」→「あめり」となるが、後半の「なり」「めり」は助動詞のままである。
57,「（作例）いと尊き高僧におはしければ、人々皆ひれ伏す。」,引用文中の「に」の文法的説明（基本形、意味、活用形）として正しいものを選べ。,断定の助動詞「なり」の連用形,完了の助動詞「ぬ」の連用形,格助詞,接続助詞,1,「高僧（体言）」に接続し、後ろに「おはし（ありの尊敬語）」という動詞（存在）が続いています。これは「高僧であっていらっしゃる」という意味を構成する、断定の助動詞「なり」の連用形「に」です（に・なり／に・なり・なる・なれ・なれ）。
58,,「その人、今は京になり。」の「なり」の意味として最も適当なものを選べ。,断定（〜である）,存在（〜に存在する、〜にある）,伝聞,推定,2,「京」という場所を表す体言に接続し、「京にいる／京にある」という所在を示しているため、ここでは存在の意味である。断定の助動詞「なり」が場所的な存在を表す用法として扱われる。
59,「（作例）もし、かかる悲しみを見ざらましかば、かく心を痛めざらまし。」,引用文末の「まし」の意味として最も適当なものを選べ。,ためらいの意志・疑問（〜しようかしら）,実現不可能な希望（〜であればいいのに）,反実仮想（もし〜だったならば〜だろうに）,当然の義務（〜すべきだ）,3,「もしこのような悲しみを見なかったならば、これほど心を痛めなかっただろうに」と、事実に反する条件とその結果を想定しているため、文末の「まし」は反実仮想を表す。
60,「（作例）いみじき物語、あまた見まほし。」,引用文中の「まほし」の意味として最も適当なものを選べ。,他者への強制・命令（〜させたい）,自己の願望・希望（〜したい、〜であってほしい）,現在推量,当然,2,「素晴らしい物語を、たくさん読みたい（見たい）」という自分自身の強い希望を表しているため、これは自己の「希望・願望」になります。活用語の未然形に接続します。
61,「（作例）かくおとなしく、賢き友を徳としたし。」,引用文中の「たし」の意味として最も適当なものを選べ。,推量,打消,希望（〜したい）,過去,3,「賢い友を自分の支えとしたい」という話し手自身の願望を表すため「希望」である。「たし」は活用語の連用形に接続する。
62,「（作例）愚かなる人とは交わり結ばじ。」,引用文中の「じ」の意味として最も適当なものを選べ（※主語が一人称『自分は〜』の文脈）。,打消推量（〜ないだろう）,打消意志（〜しないつもりだ、〜まい）,当然,命令,2,「愚かな人とは付き合わないつもりだ（交わるまい）」という、自分自身の否定的な意志を表しているため、これは「打消意志」になります（「じ」は主語が三人称であれば打消推量「〜ないだろう」になります）。
63,「雨の降り止まぬに、いづこへ行かまし。」,疑問詞「いづこへ（どこへ）」を伴う、引用文中の「まし」のここでの意味として最も適当なものを選べ。,反実仮想,ためらいの意志・疑問（〜したらよいだろうか）,実現不可能な願望,当然,2,「どこへ行ったらよいものだろうか（いや、行くまいか）」という、どうしてよいか決めかねて困惑・思案する心境を表しているため、これは「ためらいの意志・疑問」になります。
64,,希望の助動詞『まほし』と『たし』の接続規則の違いとして、正しい説明はどれか。,『まほし』は未然形に接続し、『たし』は連用形に接続する,『まほし』は連用形に接続し、『たし』は未然形に接続する,両者とも終止形に接続する,『まほし』は体言にのみ接続する,1,希望の助動詞「まほし」（〜したい）は活用語の未然形に接続し、「たし」（〜したい）は活用語の連用形に接続します。接続の違いによって意味の同じ助動詞を使い分けます。
65,,打消推量・打消意志の助動詞「じ」は、活用語のどの形に接続するか。正しいものを選べ。,未然形,連用形,終止形,已然形,1,打消推量・打消意志の助動詞「じ」は、活用語の未然形に接続する（例：「行か＋じ」「あら＋じ」）。ラ変型も未然形に接続する。
66,,助動詞『まし』の活用形として、正しいパターンを選べ。,ませ（ましか）・○・まし・まし・ましか・○,まし・ましく・まし・まき・ましか・○,まら・まり・まり・まる・まれ・まれ,まし・まし・まし・まし・まし・まし,1,「まし」は、未然形が「ませ」または「ましか」、終止形・連体形が「まし」、已然形が「ましか」となる特殊活用である。
67,「（作例）遠き都の人も、今ごろは同じ月を思ふらむ。」,引用文中の「らむ」のこの文脈における意味として最も適当なものを選べ。,過去推量（〜したのだろう）,現在推量（今ごろ〜しているだろう）,原因推量（どうして〜なのだろう）,伝聞・婉曲,2,「今ごろ」という現在の時点について、「都の人も同じ月を思っているだろう」と推量しているため「現在推量」である。
68,「（作例）何とて桜は散りぬらむ。」,疑問詞「何とて（どうして）」を伴う、引用文中の「らむ」のここでの意味として最も適当なものを選べ。,現在推量,伝聞・婉曲,原因推量（どうして〜なのだろうか）,過去推量,3,疑問語「何とて」とともに、目の前の結果について「どうして桜は散ってしまったのだろう」と原因・理由を推量しているため「原因推量」である。
69,「（作例）いにしへの人も、かかる夜は物思ひありけむ。」,引用文中の「けむ」のこの文脈における意味として最も適当なものを選べ（※「いにしえ（過去）」の出来事の推量）。,現在推量,過去推量（〜したのだろう、〜だっただろう）,過去の原因推量,過去の伝聞・婉曲,2,「いにしえ（過去、昔）」の出来事について「昔の人も、このような夜は物思いにふけっていたのだろう」と推し量っているため、これは「過去推量」になります。連用形に接続します。
70,,現在推量の助動詞『らむ』は、活用語のどの形に接続するか、正しいものを選べ。,活用語の終止形（ラ変型は連体形）に接続する,未然形に接続する,連用形に接続する,已然形に接続する,1,現在推量の助動詞「らむ」（および「らし」「めり」「なり（伝聞推定）」などの終止形接続グループ）は、活用語の終止形（ラ変型は連体形）に接続します（例：「思ふ（終止形）＋らむ」）。
71,「（作例）その人の気高きこと、美しき大輪の花のごとし。」,引用文中の「ごとし」の意味として最も適当なものを選べ（※何かに例えている）。,存続,推量,比況（〜のようだ、〜と同じだ）,当然,3,人の気高い様子を「大輪の花」に例えて「花のようである」と述べているため、これは「比況」になります。体言や助詞「の」「が」、活用語の連体形に接続し、ク活用形容詞（ごとく・ごとく・ごとし・ごとき・○・○）と同様に活用します。
